Title,URL
Controllable Agents for RAG,https://docs.llamaindex.ai/en/stable/examples/agent/agent_runner/agent_runner_rag_controllable/
Building an Agent around a Query Pipeline,https://docs.llamaindex.ai/en/stable/examples/agent/agent_runner/query_pipeline_agent/
Agentic rag using vertex ai,https://docs.llamaindex.ai/en/stable/examples/agent/agentic_rag_using_vertex_ai/
Agentic rag with llamaindex and vertexai managed index,https://docs.llamaindex.ai/en/stable/examples/agent/agentic_rag_with_llamaindex_and_vertexai_managed_index/
Function Calling Anthropic Agent,https://docs.llamaindex.ai/en/stable/examples/agent/anthropic_agent/
Function Calling AWS Bedrock Converse Agent,https://docs.llamaindex.ai/en/stable/examples/agent/bedrock_converse_agent/
Chain-of-Abstraction LlamaPack,https://docs.llamaindex.ai/en/stable/examples/agent/coa_agent/
Building a Custom Agent,https://docs.llamaindex.ai/en/stable/examples/agent/custom_agent/
DashScope Agent Tutorial,https://docs.llamaindex.ai/en/stable/examples/agent/dashscope_agent/
Introspective Agents: Performing Tasks With Reflection,https://docs.llamaindex.ai/en/stable/examples/agent/introspective_agent_toxicity_reduction/
Language Agent Tree Search,https://docs.llamaindex.ai/en/stable/examples/agent/lats_agent/
LLM Compiler Agent Cookbook,https://docs.llamaindex.ai/en/stable/examples/agent/llm_compiler/
Simple Composable Memory,https://docs.llamaindex.ai/en/stable/examples/agent/memory/composable_memory/
Vector Memory,https://docs.llamaindex.ai/en/stable/examples/agent/memory/vector_memory/
Function Calling Mistral Agent,https://docs.llamaindex.ai/en/stable/examples/agent/mistral_agent/
Multi-Document Agents (V1),https://docs.llamaindex.ai/en/stable/examples/agent/multi_document_agents-v1/
Multi-Document Agents,https://docs.llamaindex.ai/en/stable/examples/agent/multi_document_agents/
Build your own OpenAI Agent,https://docs.llamaindex.ai/en/stable/examples/agent/openai_agent/
Context-Augmented OpenAI Agent,https://docs.llamaindex.ai/en/stable/examples/agent/openai_agent_context_retrieval/
OpenAI Agent Workarounds for Lengthy Tool Descriptions,https://docs.llamaindex.ai/en/stable/examples/agent/openai_agent_lengthy_tools/
Single-Turn Multi-Function Calling OpenAI Agents,https://docs.llamaindex.ai/en/stable/examples/agent/openai_agent_parallel_function_calling/
OpenAI Agent + Query Engine Experimental Cookbook,https://docs.llamaindex.ai/en/stable/examples/agent/openai_agent_query_cookbook/
OpenAI Agent Query Planning,https://docs.llamaindex.ai/en/stable/examples/agent/openai_agent_query_plan/
Retrieval-Augmented OpenAI Agent,https://docs.llamaindex.ai/en/stable/examples/agent/openai_agent_retrieval/
OpenAI Agent with Tool Call Parser,https://docs.llamaindex.ai/en/stable/examples/agent/openai_agent_tool_call_parser/
OpenAI Agent with Query Engine Tools,https://docs.llamaindex.ai/en/stable/examples/agent/openai_agent_with_query_engine/
OpenAI Assistant Agent,https://docs.llamaindex.ai/en/stable/examples/agent/openai_assistant_agent/
OpenAI Assistant Advanced Retrieval Cookbook,https://docs.llamaindex.ai/en/stable/examples/agent/openai_assistant_query_cookbook/
OpenAI agent: specifying a forced function call,https://docs.llamaindex.ai/en/stable/examples/agent/openai_forced_function_call/
Benchmarking OpenAI Retrieval API (through Assistant Agent),https://docs.llamaindex.ai/en/stable/examples/agent/openai_retrieval_benchmark/
ReAct Agent - A Simple Intro with Calculator Tools,https://docs.llamaindex.ai/en/stable/examples/agent/react_agent/
ReAct Agent with Query Engine (RAG) Tools,https://docs.llamaindex.ai/en/stable/examples/agent/react_agent_with_query_engine/
Controlling Agent Reasoning Loop with Return Direct Tools,https://docs.llamaindex.ai/en/stable/examples/agent/return_direct_agent/
Structured Planning Agent,https://docs.llamaindex.ai/en/stable/examples/agent/structured_planner/
Observability with OpenLLMetry,https://docs.llamaindex.ai/en/stable/examples/callbacks/OpenLLMetry/
PromptLayer Handler,https://docs.llamaindex.ai/en/stable/examples/callbacks/PromptLayerHandler/
Token Counting Handler,https://docs.llamaindex.ai/en/stable/examples/callbacks/TokenCountingHandler/
UpTrain Callback Handler,https://docs.llamaindex.ai/en/stable/examples/callbacks/UpTrainCallback/
Chat Engine - Best Mode,https://docs.llamaindex.ai/en/stable/examples/chat_engine/chat_engine_best/
Chat Engine - Condense Plus Context Mode,https://docs.llamaindex.ai/en/stable/examples/chat_engine/chat_engine_condense_plus_context/
Chat Engine - Condense Question Mode,https://docs.llamaindex.ai/en/stable/examples/chat_engine/chat_engine_condense_question/
Chat Engine - Context Mode,https://docs.llamaindex.ai/en/stable/examples/chat_engine/chat_engine_context/
Chat Engine - OpenAI Agent Mode,https://docs.llamaindex.ai/en/stable/examples/chat_engine/chat_engine_openai/
Chat Engine with a Personality ✨,https://docs.llamaindex.ai/en/stable/examples/chat_engine/chat_engine_personality/
Chat Engine - ReAct Agent Mode,https://docs.llamaindex.ai/en/stable/examples/chat_engine/chat_engine_react/
Chat Engine - Simple Mode REPL,https://docs.llamaindex.ai/en/stable/examples/chat_engine/chat_engine_repl/
Anthropic Haiku Cookbook,https://docs.llamaindex.ai/en/stable/examples/cookbooks/anthropic_haiku/
Codestral from MistralAI Cookbook,https://docs.llamaindex.ai/en/stable/examples/cookbooks/codestral/
Cohere init8 and binary Embeddings Retrieval Evaluation,https://docs.llamaindex.ai/en/stable/examples/cookbooks/cohere_retriever_eval/
CrewAI + LlamaIndex Cookbook,https://docs.llamaindex.ai/en/stable/examples/cookbooks/crewai_llamaindex/
Llama3 Cookbook,https://docs.llamaindex.ai/en/stable/examples/cookbooks/llama3_cookbook/
Llama3 Cookbook with Groq,https://docs.llamaindex.ai/en/stable/examples/cookbooks/llama3_cookbook_groq/
Llama3 Cookbook with Ollama and Replicate,https://docs.llamaindex.ai/en/stable/examples/cookbooks/llama3_cookbook_ollama_replicate/
MistralAI Cookbook,https://docs.llamaindex.ai/en/stable/examples/cookbooks/mistralai/
mixedbread Rerank Cookbook,https://docs.llamaindex.ai/en/stable/examples/cookbooks/mixedbread_reranker/
Prometheus-2 Cookbook,https://docs.llamaindex.ai/en/stable/examples/cookbooks/prometheus2_cookbook/
Azure OpenAI,https://docs.llamaindex.ai/en/stable/examples/customization/llms/AzureOpenAI/
ChatGPT,https://docs.llamaindex.ai/en/stable/examples/customization/llms/SimpleIndexDemo-ChatGPT/
HuggingFace LLM - Camel-5b,https://docs.llamaindex.ai/en/stable/examples/customization/llms/SimpleIndexDemo-Huggingface_camel/
HuggingFace LLM - StableLM,https://docs.llamaindex.ai/en/stable/examples/customization/llms/SimpleIndexDemo-Huggingface_stablelm/
Chat Prompts Customization,https://docs.llamaindex.ai/en/stable/examples/customization/prompts/chat_prompts/
Completion Prompts Customization,https://docs.llamaindex.ai/en/stable/examples/customization/prompts/completion_prompts/
Streaming,https://docs.llamaindex.ai/en/stable/examples/customization/streaming/SimpleIndexDemo-streaming/
Streaming for Chat Engine - Condense Question Mode,https://docs.llamaindex.ai/en/stable/examples/customization/streaming/chat_engine_condense_question_stream_response/
Chroma Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/ChromaDemo/
DashVector Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/DashvectorReaderDemo/
Database Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/DatabaseReaderDemo/
DeepLake Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/DeepLakeReader/
Discord Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/DiscordDemo/
Faiss Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/FaissDemo/
Github Repo Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/GithubRepositoryReaderDemo/
MongoDB Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/MongoDemo/
MyScale Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/MyScaleReaderDemo/
Notion Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/NotionDemo/
Obsidian Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/ObsidianReaderDemo/
Pathway Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/PathwayReaderDemo/
Pinecone Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/PineconeDemo/
Psychic Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/PsychicDemo/
Qdrant Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/QdrantDemo/
Slack Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/SlackDemo/
Twitter Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/TwitterDemo/
Weaviate Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/WeaviateDemo/
Web Page Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/WebPageDemo/
Deplot Reader Demo,https://docs.llamaindex.ai/en/stable/examples/data_connectors/deplot/DeplotReader/
HTML Tag Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/html_tag_reader/
Simple Directory Reader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/simple_directory_reader/
Parallel Processing SimpleDirectoryReader,https://docs.llamaindex.ai/en/stable/examples/data_connectors/simple_directory_reader_parallel/
Docstore Demo,https://docs.llamaindex.ai/en/stable/examples/docstore/DocstoreDemo/
Dynamo DB Docstore Demo,https://docs.llamaindex.ai/en/stable/examples/docstore/DynamoDBDocstoreDemo/
Firestore Demo,https://docs.llamaindex.ai/en/stable/examples/docstore/FirestoreDemo/
MongoDB Demo,https://docs.llamaindex.ai/en/stable/examples/docstore/MongoDocstoreDemo/
Redis Docstore+Index Store Demo,https://docs.llamaindex.ai/en/stable/examples/docstore/RedisDocstoreIndexStoreDemo/
Anyscale Embeddings,https://docs.llamaindex.ai/en/stable/examples/embeddings/Anyscale/
LangChain Embeddings,https://docs.llamaindex.ai/en/stable/examples/embeddings/Langchain/
OpenAI Embeddings,https://docs.llamaindex.ai/en/stable/examples/embeddings/OpenAI/
CohereAI Embeddings,https://docs.llamaindex.ai/en/stable/examples/embeddings/cohereai/
Custom Embeddings,https://docs.llamaindex.ai/en/stable/examples/embeddings/custom_embeddings/
Qdrant FastEmbed Embeddings,https://docs.llamaindex.ai/en/stable/examples/embeddings/fastembed/
Google Gemini Embeddings,https://docs.llamaindex.ai/en/stable/examples/embeddings/gemini/
Google PaLM Embeddings,https://docs.llamaindex.ai/en/stable/examples/embeddings/google_palm/
Jina 8K Context Window Embeddings,https://docs.llamaindex.ai/en/stable/examples/embeddings/jina_embeddings/
Jina Embeddings,https://docs.llamaindex.ai/en/stable/examples/embeddings/jinaai_embeddings/
MistralAI Embeddings,https://docs.llamaindex.ai/en/stable/examples/embeddings/mistralai/
Ollama Embeddings,https://docs.llamaindex.ai/en/stable/examples/embeddings/ollama_embedding/
Local Embeddings with OpenVINO,https://docs.llamaindex.ai/en/stable/examples/embeddings/openvino/
Anthropic,https://docs.llamaindex.ai/en/stable/examples/llm/anthropic/
Azure OpenAI,https://docs.llamaindex.ai/en/stable/examples/llm/azure_openai/
Cohere,https://docs.llamaindex.ai/en/stable/examples/llm/cohere/
Gemini,https://docs.llamaindex.ai/en/stable/examples/llm/gemini/
Gradient Base Model,https://docs.llamaindex.ai/en/stable/examples/llm/gradient_base_model/
Gradient Model Adapter,https://docs.llamaindex.ai/en/stable/examples/llm/gradient_model_adapter/
Groq,https://docs.llamaindex.ai/en/stable/examples/llm/groq/
Langchain,https://docs.llamaindex.ai/en/stable/examples/llm/langchain/
LiteLLM,https://docs.llamaindex.ai/en/stable/examples/llm/litellm/
Replicate - Llama 2 13B,https://docs.llamaindex.ai/en/stable/examples/llm/llama_2/
LlamaCPP,https://docs.llamaindex.ai/en/stable/examples/llm/llama_2_llama_cpp/
Llama API,https://docs.llamaindex.ai/en/stable/examples/llm/llama_api/
llamafile,https://docs.llamaindex.ai/en/stable/examples/llm/llamafile/
LLM Predictor,https://docs.llamaindex.ai/en/stable/examples/llm/llm_predictor/
LM Studio,https://docs.llamaindex.ai/en/stable/examples/llm/lmstudio/
Maritalk,https://docs.llamaindex.ai/en/stable/examples/llm/maritalk/
MistralRS LLM,https://docs.llamaindex.ai/en/stable/examples/llm/mistral_rs/
MistralAI,https://docs.llamaindex.ai/en/stable/examples/llm/mistralai/
OctoAI,https://docs.llamaindex.ai/en/stable/examples/llm/octoai/
Ollama - Llama 3,https://docs.llamaindex.ai/en/stable/examples/llm/ollama/
Ollama - Gemma,https://docs.llamaindex.ai/en/stable/examples/llm/ollama_gemma/
OpenAI,https://docs.llamaindex.ai/en/stable/examples/llm/openai/
